"org_uuid","Predicted Funding","Total Funding Received","Number of Founders","Number of organisations founded previously by current Founders","Funding received from organisations founded previously by current Founders","Number of executive jobs held by Founders previously","Funding received from previously held jobs by current Founders","Number of Funding Rounds from previously held jobs by current Founders","Number of Bachelors","University Rankings from Founders' degrees","Number of previous funding rounds","Age at Funding - Series Unknown","Funding Raised (USD) - Series Unknown","Age at Funding - Seed","Funding Raised (USD) - Seed","Number of Investors - Seed","Age at Funding - Series A","Funding Raised (USD) - Series A","Number of Investors - Series A","Funding Raised (USD) - Debt Financing","Age at Funding - Series B","Funding Raised (USD) - Series B","Average organization age at events","Organization Age","name"
"1580406c-e791-4d3a-aa81-7d447567b11b",9897295.254166666,12000000.0,2,0.0,0.0,3.0,12300000.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,58.0,12000000.0,1.0,0.0,0.0,0.0,50.6361176044577,84.27277767510627,"Entertainment Data Oracle (EDO)"
"158874bb-1fd6-e910-7122-7fbaa57df1d3",2545565.5225,12558991.0,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,28.0,2558991.0,2.4241519674355496,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,87.29542701082157,"ReachFive"
"158ee541-b480-1407-83c3-d28ff03babc4",43828355.55416667,43877645.0,3,0.6666666666666666,583332.3333333335,10.0,849787.6666666665,2.666666666666668,2.0,1.0,14.0,106.6,26963655.0,0.0,0.0,0.0,54.0,6500000.0,4.0,0.0,0.0,0.0,120.09555295454388,144.26579601223844,"Meniga"
"15900f20-fbb0-41d1-a41d-9feae827fab8",283126.8358333333,150000.0,3,0.6666666666666666,26666.66666666667,6.0,30000.0,1.0,0.0,0.0,2.0,0.0,0.0,13.0,1326531.069651459,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,48.26382471919342,"Tranqui"
"15927bfb-f41e-4331-60fa-14815d000077",118476688.21416669,111464000.0,4,1.0,4449998.75,11.0,723022044.75,21.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,36.0,3435000.0,3.0029130253849354,0.0,55.0,2029000.0,110.53791072271947,148.27409187046962,"Mavenlink"
"15983b0d-19aa-b81c-51c6-f3178cbd4152",11593848.269166669,11700000.0,1,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,168.28271627754162,"Ginger Software"
"15987b58-5690-ad5b-2b75-a30db7ac6457",1980047.850833333,1900000.0,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,1326531.069651459,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.569067126635046,59.270210887287206,"Collectly"
"159a3a6e-b93c-468a-8161-2d89aba460ad",55138708.9875,55000000.0,3,0.6666666666666666,1480000.0,5.0,1920000.0,2.0,1.0,1.0,4.0,8.0,32794289.54256713,4.0,1326531.069651459,3.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,22.341321177026227,"Ramp"
"159ca7f0-b405-7ce2-0f89-6484996b70cd",1414530.1791666667,1377360.0,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.60929382533523,99.84599273085688,"Adomik"
"15a1d32e-cb1c-3cba-c7f8-fa5796b555b2",7635224.567499999,7900000.0,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,67.0,5200000.0,22.5,1426531.069651459,1.0,50.0,2000000.0,3.0,0.0,0.0,0.0,50.6361176044577,144.26579601223844,"Kickboard"
"15a64079-8700-8716-eb86-e2f540d24fef",424987266.25749993,425000000.0,1,5.0,15011529.0,9.0,15011529.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,175.31366147148807,"Sentiment Strategies, LLC"
"15a99d5a-f01a-bd23-8e16-4cb2b3f24260",1414530.1791666667,1300000.0,1,0.0,0.0,2.0,1300000.0,1.0,0.0,0.0,1.0,0.0,0.0,22.0,1300000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,72.28074498449661,"Viewly"
"15ac7aa9-8026-51e4-582f-1649a8aa6b65",283126.8358333333,26677.0,3,0.0,0.0,4.0,232199.66666666663,2.0,3.0,3.0,1.0,0.0,0.0,8.0,26677.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,96.26481036571592,"Digital Perception"
"15b6780d-dfb0-e9a7-ec3f-228dd19966fb",284738883.68416667,284754000.0,2,0.0,0.0,3.0,1000000.0,0.5,1.0,1.0,10.0,131.0,12000000.0,4.0,5000000.0,2.0,0.0,0.0,0.0,954000.0,31.0,20766633.367334902,193.93218440370163,228.2757346146738,"Skybox Security"
