"uuid","name","investment_count","logo_url"
"047fb06d-5956-7a57-fa20-fd9d1bc61d05","Steve Anderson",9.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1472084069/walyfwk28kfzepzwh2pq.jpg"
"7475db43-36a9-414d-f7a9-b92b78bae47b","Partech",402.0,"https://res.cloudinary.com/crunchbase-production/image/upload/ufncitpghqz2wrqam3aw"
"40812e5d-2d87-5bcb-63a1-d9f6b8eca1ef","Baseline Ventures",188.0,"https://res.cloudinary.com/crunchbase-production/image/upload/ga0urn0m4cxybepqv6we"
"86935a42-e720-279b-53d2-3334ad2d58ab","Maveron",257.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1404407757/zwnjptxki3bgmeayiiuu.jpg"
"4c21297f-d259-d1d6-ded8-1a148ffdb9e7","Xochi Birch",3.0,"https://res.cloudinary.com/crunchbase-production/image/upload/tidt5lh1mycdgrv7cq79"
"8fd63385-5a80-0a83-b0b5-540ebc159b6a","Robin Vasan",4.0,"https://res.cloudinary.com/crunchbase-production/image/upload/dyhd0mxgipdshwnvb8mi"
"ddfb2e57-49ef-6466-494a-b8942b8beb95","BlueRun Ventures",244.0,"https://res.cloudinary.com/crunchbase-production/image/upload/xfwgll8j7ekrsvi3pdcn"
"01565767-a50c-b1f4-4b61-50cd459df7b7","Catamount Ventures",67.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1411655408/gsssaexk0wlyigq9walm.png"
"d0cdfdc0-517d-ce18-4a74-194f506bccad","Balderton Capital",317.0,"https://res.cloudinary.com/crunchbase-production/image/upload/ph2jidaimchg9nj6n1oj"
"6f2acf2a-5cbf-adb1-cbb4-5829ab0b08cd","Atlas Venture",520.0,"https://res.cloudinary.com/crunchbase-production/image/upload/yq3twfb3zzrmiqugv5wn"
"796e4250-e66a-1c7b-6ccf-5a4fbd3b1936","Crosslink Capital",368.0,"https://res.cloudinary.com/crunchbase-production/image/upload/ydzufqwlb5lewetz03wd"
"3770826e-7225-3584-f78a-a1cb11a38b1a","Sherpalo Ventures",66.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1401965954/vanftgtz97skrucuwewb.jpg"
"7e3a7b7b-81a6-b791-3ee9-e3de3785990d","Clearstone Venture Partners",104.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1397178552/92ef73aedfb451022a491db5dc872b4b.gif"
"b97d706a-02b0-a16e-84d1-b45b272dee29","Opus Capital",86.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1397178554/73a994d8fcc71fb2b45fc6bd8776bd7f.jpg"
"95c31e49-9d40-09d5-356f-759507bf4f02","Alsop Louie Partners",79.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1397178555/baa1a84ae084acb582adba40e94f0d30.png"
"b51ff078-c9d9-9f51-681d-4f9ac888e070","Highland Capital Partners",462.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1397178556/899c1190c7d6874e75a2daceb7ae5cd9.jpg"
"0f33b750-5bcf-5501-6050-35bb5347f143","Second Avenue Partners",43.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1458617286/rnkzk2roqk1hck0cyzx9.jpg"
"10f60270-a903-4786-68d8-5b3dff93b73c","Novak Biddle Venture Partners",117.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1397178560/c8b39e3533c1e02c7259e80aef75464d.gif"
"3eafb4fb-bdd0-0a80-4ea4-ae85b1c02bbf","Novitas Capital",39.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1397178561/c5b8b5398f1b748d3b69f2cc5d77c76b.gif"
"d1a88211-1525-02b4-ab5b-5887d56bf325","Tudor Investments",46.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1398773359/l4qp7uyqwz9mlf2sgah9.jpg"
"e9b9f4db-721a-d30f-bbfc-ebc5aa381456","VantagePoint Capital Partners",270.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1420710583/xxl9n9eqssozq6c0wndx.png"
"55951d54-d738-7ebf-825d-4bb5f1daf829","CVP Management",149.0,""
"97254a29-8bc4-726c-067f-2b4ca823106d","Keiretsu Forum",129.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1397178565/9ab15ba15140ff52b92ee1f6e0cbbb0d.png"
"30bcdd65-41ce-122b-8ef3-52a187ed4bf9","3i Group",453.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1472600080/rmo5eewabu265uvyyjk3.jpg"
"a34c63f0-c277-3e4b-bbfc-1868ca81596d","Menlo Ventures",619.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1475585357/zrgz4eq7n6idd8ehycyf.jpg"
"7a42b564-4bb6-5864-6cdb-a0100008f3b3","Battery Ventures",702.0,"https://res.cloudinary.com/crunchbase-production/image/upload/x6rg9btjodhklmt3i7n1"
